Section,Success,Enrolled
20185,13,27
20191,24,30
20192,25,32
20193,13,21
20194,21,30
20196,24,30
20197,8,17
20198,8,30
20201,18,28
20202,25,31
20203,12,29
20204,14,19
20205,29,33
20206,17,29
20208,31,33
20210,16,30
20212,20,24
20213,17,23
20220,17,22
20221,20,26
20233,0,0
20234,0,0
20235,7,8
20236,0,0
20562,22,28
20563,19,26
20564,16,22
20565,15,22
20566,13,21
20568,15,25
20569,6,8
20570,14,31
20571,28,29
20574,18,31
20578,18,26
20579,25,31
20580,21,31
20582,24,30
20583,23,30
20584,25,29
20586,17,28
20590,11,13
20688,10,26
20689,18,30
20690,17,30
20692,6,13
20694,14,18
20832,13,25
20834,22,29
20835,7,8
20836,0,0
20887,11,21
21005,0,0
21006,0,0
21007,0,0
21008,0,0
21100,0,0
21101,0,0
21102,0,0
21103,0,0
21104,0,0
21106,0,0
21107,0,0
21181,0,0
21183,0,0
21184,0,0
21235,13,15
21237,20,24
21299,13,24
21300,0,0
21463,14,28
21474,19,21
21476,14,25
21605,8,21
21649,11,29
21650,0,0
21653,12,17
21656,26,30
21657,16,16
21658,20,22
21781,17,29
21786,23,30
21864,11,21
21866,2,23
22066,0,4
22074,28,29
22149,19,22
22150,15,29
22279,28,32
22297,0,0
22345,13,30
22346,10,30
22347,15,24
22351,12,15
22352,0,0
22411,0,0
22436,11,22
22437,0,0
22452,17,29
22584,13,20
22585,22,25
22601,14,18
22602,0,0
22678,13,22
22682,11,25
22683,0,0
23466,18,28
23471,18,30
23483,8,11
23484,0,0
23507,17,23
23605,6,9
23606,0,0
23697,11,15
23698,0,0
23699,10,10
23700,0,0
23936,10,22
23937,21,27
23938,12,27
23946,17,25
23947,0,0
23948,13,25
23949,0,0
23952,12,28
23953,0,0
23986,12,27
24079,14,31
24115,10,27
24537,24,29
24540,0,0
24543,13,31
24544,19,32
24545,0,7
24546,4,16
24547,0,0
24566,12,20
24567,0,0
24568,14,29
24569,0,0
24570,10,26
24571,0,0
24572,15,24
24573,0,0
24574,10,25
24575,0,0
24576,22,32
24577,0,0
24578,12,25
24579,0,0
24580,6,23
24581,0,0
24582,15,27
24583,0,0
24584,9,11
24585,0,0
24586,12,13
24587,0,0
24588,9,10
24589,0,0
24590,0,0
24591,7,17
24592,0,0
24593,12,14
24595,13,25
24619,13,26
24622,0,0
24624,16,22
25057,7,8
25059,11,16
25191,22,35
25480,8,16
25481,16,20
25492,13,25
25626,9,14
25629,6,15
25632,21,26
25633,20,31
25967,22,32
25971,7,16
25973,13,27
25976,16,23
26037,0,0
26038,0,0
26293,7,14
26297,10,24
26298,0,0
26315,18,26
26396,25,30
26399,14,18
26400,8,29
26407,19,24
26408,9,22
26409,13,18
26413,7,21
26507,18,20
26518,17,26
26521,0,0
26538,18,25
26963,15,21
26981,14,26
26982,0,0
26984,20,31
26988,7,21
27077,9,10
27078,0,0
27079,4,5
27080,0,0
27082,18,27
27083,0,1
27190,5,11
27191,4,4
27247,19,29
27304,0,0
27305,9,23
27316,8,27
27317,5,26
27451,26,31
27468,20,30
27469,19,28
27771,0,0
27773,23,28
27777,4,9
27778,0,0
27865,23,29
27869,11,29
27873,18,30
27874,10,25
27875,19,31
27878,18,29
27885,16,29
27889,22,26
27893,8,27
27896,14,28
27905,6,21
27907,13,28
27909,15,24
27913,6,15
27914,0,0
27917,21,27
27918,13,21
27919,18,24
27923,6,10
27924,0,0
28009,12,30
28010,0,0
28011,18,25
28012,0,0
28013,15,23
28014,0,0
28153,0,0
28236,9,30
28407,17,30
28817,0,0
29171,8,27
29189,18,30
29192,8,29
29199,20,27
29200,22,30
29202,19,28
29206,23,28
29209,0,0
29211,13,27
29212,15,21
29219,5,5
29220,2,3
29223,0,0
29224,0,0
29243,14,30
29244,24,31
29245,12,25
29246,25,33
29249,11,17
29251,14,17
29252,13,25
29254,18,30
29345,10,21
29346,0,0
29352,11,27
29438,11,30
29593,9,11
29629,27,27
29632,18,30
29633,13,30
29647,24,33
29746,8,22
29781,0,0
29793,9,24
29796,12,25
29822,17,22
29823,0,0
30068,6,20
30069,0,0
30070,6,19
30071,0,0
30086,12,22
30087,0,0
30090,9,32
30091,17,25
30092,0,0
30093,6,21
30094,0,0
30095,28,30
30096,0,0
30099,4,26
30100,0,0
30101,20,28
30102,0,0
30105,6,21
30106,0,0
30109,12,16
30110,0,0
30113,8,20
30114,0,0
30117,15,28
30118,0,0
30125,12,18
30126,0,0
30137,8,29
30138,6,27
30139,8,27
30140,9,27
30145,12,23
30150,11,22
30151,0,0
30156,10,23
30157,19,31
30158,8,27
30159,20,33
30160,19,30
30165,12,20
30178,6,8
30179,0,0
30184,19,25
30185,20,20
30186,0,0
30187,7,10
30189,15,29
30190,11,28
30191,4,22
30193,11,24
30194,21,30
30195,0,0
30392,17,27
30394,16,29
30395,18,27
30396,10,27
30397,16,26
30398,3,17
30399,14,24
30400,11,22
30401,0,0
30402,5,10
30403,0,0
30404,17,21
30407,0,0
30534,10,26
30645,8,23
30648,2,5
30649,0,0
30650,14,18
30653,28,28
30654,26,26
30655,0,0
30656,13,23
30657,6,12
30659,0,0
30660,8,12
30661,6,9
30679,8,27
30684,9,18
30685,0,0
30691,14,27
30692,23,29
30693,6,30
30694,10,23
30695,8,24
30696,14,29
30697,12,23
30698,9,31
30825,18,23
30831,7,18
30832,0,0
30844,18,25
30845,0,0
30866,13,19
30867,18,29
30891,16,21
30892,6,29
30895,18,28
31284,10,15
31288,11,27
31343,21,27
31516,7,29
31517,10,24
31518,15,27
31519,0,0
31520,0,0
31545,10,17
31546,0,0
31547,22,27
31559,20,23
31560,10,14
31685,15,29
31686,17,22
32046,20,31
32047,34,45
32048,24,37
32049,5,28
32050,12,30
32051,10,31
32052,14,27
32053,8,28
32054,8,14
32055,11,13
32056,0,0
32057,6,13
32058,8,10
32059,16,17
32060,9,17
32170,17,17
32171,0,0
32182,0,0
32294,12,24
32295,27,30
32296,28,30
32297,31,31
32298,11,11
32299,0,0
32300,28,28
32396,19,22
32397,0,0
32398,10,29
32399,0,0
32409,16,20
32410,0,0
32411,4,18
32418,9,19
32419,10,26
32423,7,25
32424,0,0
32426,24,30
32483,11,29
32484,11,29
32485,5,28
32486,4,22
32487,3,18
32508,13,26
32509,0,0
32516,3,28
32517,7,27
32518,12,29
32521,8,14
32530,6,11
