,Dept,Course,Session,Class,Start,End,Days,Room,Size,Max,Wait,Cap,Seats,WaitAv,Status,Instructor,Type,Hours,Books,Modality,Modality2,FTES,Potential FTES,FTEF,Efficiency,Potential Efficiency
0,A&P,A&P 120,18,20032,2:00pm,4:50pm,W,S 129,30,30,10,10,0,,Closed,"Jones, N",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
1,A&P,A&P 120,18,20033,12:30pm,3:20pm,Th,S 129,30,30,10,10,0,,Closed,"Tydell, C",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
2,A&P,A&P 120,18,20034,12:00pm,2:50pm,F,S 129,30,30,10,10,0,,Closed,"Solis Avelar, C",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
3,A&P,A&P 120,18,20031,9:30am,10:45am,M W,S 202,0,0,29,30,,,,"Tydell, C",Lecture,54,Books,,IN PERSON,0.0,0.0,0.2,0.0,0.0
4,A&P,A&P 120,18,20611,7:00pm,9:50pm,Tu,S 129,30,30,10,10,0,,Closed,"Johnson, G",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
5,A&P,A&P 120,18,20612,7:00pm,9:50pm,Th,S 129,30,30,10,10,0,,Closed,"Johnson, G",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
6,A&P,A&P 120,18,20610,5:30pm,6:50pm,Tu Th,S 103,0,0,20,20,,,,"Johnson, G",Lecture,54,Books,,IN PERSON,0.0,0.0,0.2,0.0,0.0
7,A&P,A&P 150,18,20036,8:00am,10:50am,W,S 129,30,30,10,10,0,,Closed,"Babiar, R",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
8,A&P,A&P 150,18,20037,2:00pm,4:50pm,M,S 129,30,30,10,10,0,,Closed,"Babiar, R",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
9,A&P,A&P 150,18,20038,3:30pm,6:20pm,Th,S 129,30,30,10,10,0,,Closed,"Babiar, R",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
10,A&P,A&P 150,18,20035,12:30pm,1:45pm,Tu Th,S 202,0,0,29,30,,,,"Babiar, R",Lecture,54,Books,,IN PERSON,0.0,0.0,0.2,0.0,0.0
11,A&P,A&P 150,18,21791,8:00am,10:50am,M,S 129,30,30,8,10,0,2,Wait List,"Yi, M",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
12,A&P,A&P 150,18,29452,6:00pm,8:50pm,F,S 129,30,30,6,10,0,4,Wait List,"Solis Avelar, C",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
13,A&P,A&P 150,18,30197,2:00pm,3:15pm,M W,S 202,0,0,14,20,,,,"Chien, J",Lecture,54,Books,,IN PERSON,0.0,0.0,0.2,0.0,0.0
14,A&P,A&P 150,18,20614,7:00pm,9:50pm,M,S 129,30,30,10,10,0,,Closed,"Taylor, T",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
15,A&P,A&P 150,18,20615,7:00pm,9:50pm,W,S 129,30,30,9,10,0,1,Wait List,"Taylor, T",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
16,A&P,A&P 150,18,20613,5:00pm,6:15pm,M W,S 103,0,0,19,20,,,,"Taylor, T",Lecture,54,Books,,IN PERSON,0.0,0.0,0.2,0.0,0.0
17,A&P,A&P 150,18,24290,12:00pm,2:50pm,F,S 103,30,30,10,10,0,,Closed,"Chien, J",Lecture,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
18,A&P,A&P 150,18,24291,3:00pm,5:50pm,F,S 129,0,0,10,10,,,,"Chien, J",Laboratory,54,Books,,IN PERSON,0.0,0.0,0.2,0.0,0.0
19,A&P,A&P 150,18,28981,9:00am,11:50am,F,S 129,30,30,9,10,0,1,Wait List,"Solis Avelar, C",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
20,A&P,A&P 150,18,29453,12:30pm,3:20pm,Tu,S 129,30,30,10,10,0,,Closed,"Covill, M",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
21,A&P,A&P 150,18,29454,3:30pm,6:20pm,Tu,S 129,30,30,5,10,0,5,Wait List,"Tamminga, S",Laboratory,54,Books,,IN PERSON,3.0,3.0,0.2,15.0,15.0
